Velocity;Left;Left45;Front;Right45;Right;Rotation
32.7734;2.1695;13.6499;7.1424;6.1651;5.7679;3
34.5204;2.1406;14.1228;7.0456;6.0784;5.8228;3
46.1408;2.1073;14.7298;6.9569;5.9693;5.8906;3
34.1741;2.0694;15.8299;6.8764;5.8207;5.9717;3
50.3605;2.0269;37.3979;6.7952;5.6833;5.9441;3
31.1746;1.983;36.5144;6.7054;5.5567;5.9263;3
31.9174;1.9751;35.5677;6.6236;5.4408;5.9212;3
37.5774;1.9628;34.1932;6.5499;5.3209;5.8633;3
40.3366;1.9461;26.3783;6.4848;5.1774;5.7781;3
36.4881;1.9249;25.6248;6.4284;5.0443;5.7066;3
45.4981;1.9019;24.9167;6.3814;4.9214;5.6382;3
36.8961;1.907;24.1191;6.3442;4.8084;5.5201;3
29.1057;1.9074;23.2063;6.3058;4.7051;5.4167;3
41.1948;1.9033;22.1951;6.2691;4.6025;5.3275;3
29.624;1.8948;21.1374;6.2428;4.4823;5.2003;3
37.3028;1.8818;19.7788;6.2278;4.3715;5.039;3
38.8484;1.8791;17.9504;6.2249;4.2701;4.8943;3
18.7692;1.8798;15.4481;6.2354;4.1778;4.7651;3
31.4468;1.8758;6.571;6.2605;4.0945;4.6415;3
34.7746;1.8674;5.4806;6.2922;4.0203;4.4803;3
24.0774;1.8545;5.036;6.3357;3.9462;4.3353;3
35.2398;1.8558;5.9828;6.1357;3.8269;4.245;8
34.4568;1.9129;7.4959;5.9357;3.7075;4.1548;8
28.5871;1.9737;9.3999;5.7357;3.5882;4.0646;8
30.1836;2.0345;10.8951;5.5357;3.4689;3.9744;8
35.6616;2.0952;12.026;5.3357;3.3496;3.8806;8
32.0433;2.1715;12.7577;5.1357;3.2302;3.76;8
32.6172;2.2645;13.4205;4.9357;3.1109;3.6393;8
19.5568;2.3046;11.8258;4.9432;3.0244;3.4724;3
12.4417;2.3394;10.2773;4.9654;2.9458;3.3217;3
36.3442;2.3691;9.1077;5.0042;2.8751;3.1859;3
19.3746;2.3941;8.1655;5.0623;2.809;3.0641;3
23.0145;2.4144;7.4623;5.144;2.7389;2.9378;3
16.6962;2.442;6.9051;5.254;2.6765;2.8114;3
23.3359;2.4684;6.4497;5.3954;2.6221;2.6983;3
26.394;2.4902;6.0702;5.5748;2.5756;2.5977;3
24.679;2.5076;5.7457;5.8121;2.5373;2.5088;3
26.1003;2.5208;5.4625;6.1507;2.5073;2.4311;3
22.8551;2.5299;5.2109;6.5807;2.4861;2.364;3
20.0483;2.5349;4.9841;7.3141;2.4716;2.2923;3
20.5756;2.536;4.7769;28.6192;2.4598;2.2285;3
18.0635;2.5333;4.5855;26.8947;2.4574;2.1747;3
20.6871;2.5301;4.407;20.2686;2.4651;2.1305;3
13.7427;2.5298;4.239;19.6028;2.4833;2.0956;8
21.7022;2.5533;4.3123;19.4028;2.4352;2.0609;8
16.2761;2.5768;4.3855;19.2028;2.3871;2.0262;8
18.6331;2.6004;4.4588;19.0028;2.339;1.9915;8
17.5313;2.6239;4.532;18.8028;2.2909;1.9518;8
17.8591;2.6474;4.6053;18.6028;2.2435;1.9108;8
14.8844;2.6726;4.6771;18.4028;2.1965;1.8699;8
16.47;2.7077;4.7469;18.2028;2.1495;1.8289;8
16.5963;2.7428;4.8167;18.0028;2.1025;1.7879;8
19.755;2.7779;4.8865;17.8028;2.0555;1.7469;8
17.1861;2.8131;4.9563;17.6028;2.0085;1.706;8
17.1105;2.8482;5.0261;17.4028;1.9615;1.665;8
17.576;2.8833;5.0959;17.2028;1.9145;1.624;8
11.1006;2.8842;4.8978;16.6267;1.9331;1.5937;3
16.6099;2.8815;4.7111;16.0841;1.9694;1.5723;3
14.7999;2.8762;4.534;15.4765;2.0245;1.5593;3
17.1231;2.8697;4.365;14.8865;2.0938;1.5544;3
14.8583;2.8597;4.2029;14.1849;2.1788;1.5577;3
12.224;2.8463;4.0468;13.5207;2.2813;1.569;3
8.9983;2.8294;3.8957;12.8123;2.4247;1.5885;3
9.2362;2.809;3.7488;12.1596;2.607;1.6251;3
8.1392;2.785;3.6056;11.3811;2.8203;1.6702;3
6.6604;2.7573;3.4654;10.6708;3.1064;1.7238;3
5.1808;2.7259;3.3278;9.8957;3.5006;1.7862;3
5.2747;2.6906;3.1922;9.0993;4.1161;1.8576;3
2.8212;2.6513;3.0583;8.388;39.7631;1.9431;3
1.57;2.6072;3.0057;8.188;39.5447;2.0093;8
1.8831;2.5632;2.9531;7.988;39.3128;2.0755;8
1.7287;2.5191;2.8934;7.788;39.0549;2.1417;8
1.951;2.4735;2.8336;7.588;38.7969;2.2079;8
2.0017;2.4278;2.7739;7.388;38.539;2.2742;8
2.0378;2.3822;2.7142;7.188;38.2811;2.3438;8
1.75;2.3366;2.6544;6.988;38.0232;2.4299;8
1.7045;2.2909;2.5947;6.788;37.7653;2.5159;8
1.8259;2.2453;2.5349;6.588;37.4704;2.602;8
2.1649;2.1996;2.4752;6.388;37.1353;2.6881;8
2.3789;2.154;2.4154;6.188;36.8003;2.7742;8
1.9197;2.1084;2.3557;5.988;36.4652;2.8897;8
1.7896;2.0583;2.2959;5.788;36.1234;3.0072;8
2.0945;2.0047;2.2362;5.588;35.7626;3.1246;8
1.6461;1.9511;2.17;5.388;35.4019;3.242;8
1.5237;1.9016;2.1549;5.5173;36.6949;3.2828;7
2.9957;1.8613;2.1489;5.6811;37.43;3.3471;7
3.9886;1.8299;2.1525;5.8868;37.9324;3.4046;7
7.8013;1.8073;2.1662;6.1161;38.3181;3.4561;7
6.4854;1.7933;2.1907;6.2327;38.6381;3.5021;7
8.5969;1.7826;2.2269;6.3789;38.9187;3.5429;7
8.6414;1.769;2.2757;6.5602;27.7174;3.5791;7
9.577;1.7638;2.3161;6.7313;25.2809;3.6109;7
12.4363;1.7669;2.3571;6.8406;23.8946;3.6387;7
12.9223;1.7784;2.4111;6.9772;13.4112;3.6746;7
14.4511;1.7981;2.4794;7.1452;12.7312;3.7147;7
15.2202;1.8262;2.5632;7.2609;12.2211;3.7502;7
17.7982;1.8628;2.6642;7.4006;11.7714;3.7815;7
18.6697;1.8996;2.7744;7.5714;11.3554;3.8089;7
24.6015;1.9292;2.8535;7.6559;10.9721;3.8326;7
17.7431;1.9673;2.9492;7.75;10.6165;3.8528;7
22.5172;2.0142;3.0632;7.868;10.2832;3.8699;7
21.5253;2.0701;3.1978;7.9299;9.9699;3.8838;7
25.5302;2.1351;3.3552;8.0046;9.6744;3.8949;7
24.7192;2.2096;3.445;8.1005;9.3949;3.9081;7
21.898;2.2939;3.5407;8.2127;9.1296;3.921;7
24.9301;2.3541;3.6546;8.3509;8.8479;3.931;7
23.5841;2.4212;3.7887;17.2892;8.5628;3.9383;7
26.8882;2.4981;3.9017;17.6933;8.2934;3.943;7
25.1264;2.5853;3.9855;18.0414;8.0379;3.9452;7
35.2382;2.683;4.0863;18.4835;7.795;3.9448;7
33.7584;2.7919;4.206;32.1585;7.5631;3.942;7
32.6176;2.8779;4.3066;32.8398;7.3413;3.9369;7
28.088;2.9104;4.2718;32.6398;7.2849;3.9638;8
40.5104;2.9429;4.237;32.4398;7.2286;4.0316;8
26.1052;2.9753;4.2022;32.2398;7.1723;4.1016;8
32.0619;3.0078;4.1674;32.0398;7.1159;4.1716;8
31.9391;3.0403;4.1326;31.8398;7.0596;4.2416;8
35.0641;3.0728;4.0978;31.6398;7.0032;4.3424;8
32.7929;3.1052;4.0258;31.4398;6.9372;4.4479;8
27.0716;3.1037;3.9538;31.2398;6.8465;4.5534;8
24.8898;3.0995;3.8817;31.0398;6.7559;4.6589;8
33.8463;3.0954;3.8096;30.8398;6.6652;4.7609;8
24.9856;3.0913;3.7375;30.6398;6.5745;4.8627;3
37.5755;3.0714;3.5902;29.6357;6.5823;5.0479;3
25.6789;3.0483;3.4444;15.8393;6.6039;5.1692;3
27.0916;3.0217;3.2999;14.905;6.641;5.3047;3
29.7156;2.9918;3.1563;14.2635;6.6976;5.4552;3
26.6387;2.9582;3.0132;13.6574;6.7706;5.6215;3
23.5932;2.9192;2.8703;13.0207;6.8804;5.687;8
37.705;2.85;2.7669;12.8207;6.8565;5.677;8
24.3957;2.7808;2.6573;12.6207;6.8327;5.6669;8
26.8339;2.7116;2.5323;12.4207;6.8088;5.6569;8
27.6063;2.6424;2.4073;12.2207;6.7849;5.6469;8
27.508;2.5731;2.2822;12.0207;6.8323;5.6369;8
30.3307;2.5039;2.1572;11.8207;6.8839;5.6269;8
25.6433;2.3929;2.0321;11.6207;6.9355;5.6168;8
24.8941;2.2775;1.9071;11.4207;7.2252;5.6068;8
25.2086;2.1621;1.7821;11.2207;11.5074;5.5968;8
31.4759;2.0467;1.6565;11.0207;11.6022;5.5547;8
29.1628;1.9314;1.5298;10.8207;11.697;5.5042;8
27.6504;1.7832;1.4031;10.6207;11.7918;5.4538;8
27.2253;1.6041;1.2967;10.7881;11.2491;5.4311;7
27.6029;1.4417;1.1963;10.9068;10.7237;5.4073;7
15.0309;1.2946;1.1018;11.049;9.892;5.3824;7
26.662;1.1579;1.0129;11.2088;9.2058;5.3562;7
29.4083;1.0341;1.1535;11.634;6.6312;5.3287;7
33.4538;0.9225;1.3687;25.3752;6.1068;5.2997;7
31.9092;0.8222;1.8447;25.8268;5.7944;5.2691;7
31.0003;0.8612;2.4599;26.1803;5.556;5.2368;7
33.152;0.9667;3.1746;26.4793;5.3345;5.2026;7
30.4123;1.0824;3.9869;26.7463;5.1273;5.1663;7
35.1089;1.2474;4.6356;26.9924;4.9321;5.1277;7
33.446;1.4401;5.3569;27.2151;4.7472;5.0866;7
31.7468;1.6503;5.7882;27.4369;4.5709;5.0427;7
31.5527;1.8795;6.2907;27.6588;4.4022;4.9957;7
19.2467;2.0463;6.3522;27.4588;4.4076;4.8275;8
